OID_,DateTime,PlatformType,Speed_km_hr,Distance_1_sec,PlatformName,SymbologyCode,EstimatedPoints,BEARING,POINT_X,POINT_Y,POINT_Z,DateTimeSim,COUNTSim,ORIG_FID
1,,2,18.000000000000000,5.000000000000000,GOLF_1,Golf Cart,840.083215782839602,162.739695441778281,-112.062405145800213,33.481741180896606,0.000000000000000,3/20/2026 8:45:42,2,1
2,,2,18.000000000000000,5.000000000000000,GOLF_2,Golf Cart,1493.561445671860156,116.115406303690378,-112.059370859552644,33.482212683604899,0.000000000000000,3/20/2026 8:45:42,2,841
3,,2,18.000000000000000,5.000000000000000,GOLF_3,Golf Cart,1561.834212957391628,6.477250927023718,-112.056718315080005,33.483716746463955,0.000000000000000,3/20/2026 8:45:42,2,2334
4,,2,18.000000000000000,5.000000000000000,GOLF_4,Golf Cart,853.644585098075140,48.729726940122191,-112.062845453240101,33.482301409302394,0.000000000000000,3/20/2026 8:45:42,2,3895
5,,2,18.000000000000000,5.000000000000000,MAINT_1,Maintenance Cart,331.821889795812581,340.627416650909709,-112.059930387803774,33.482457751222718,0.000000000000000,3/20/2026 8:45:42,2,4748
6,,2,18.000000000000000,5.000000000000000,MAINT_3,Beverage Cart,431.306944922104151,34.248609688539361,-112.062973228707790,33.481519675987570,0.000000000000000,3/20/2026 8:45:42,2,5079
7,,2,18.000000000000000,5.000000000000000,MAINT_4,Beverage Cart,466.725552020159284,93.359491077028181,-112.063653018917591,33.482114444626362,0.000000000000000,3/20/2026 8:45:42,2,5510
8,,2,18.000000000000000,5.000000000000000,MAINT_5,Maintenance Cart,529.788930054992306,174.455133911997166,-112.061391532647690,33.486288031882623,0.000000000000000,3/20/2026 8:45:42,2,5976
9,,2,18.000000000000000,5.000000000000000,GOLF_1,Golf Cart,840.083215782839602,162.739695441778281,-112.062385209489108,33.481707674414658,0.000000000000000,3/20/2026 8:45:43,3,2
10,,2,18.000000000000000,5.000000000000000,GOLF_2,Golf Cart,1493.561445671860156,116.115406303690378,-112.059329236113967,33.482198640480959,0.000000000000000,3/20/2026 8:45:43,3,842
11,,2,18.000000000000000,5.000000000000000,GOLF_3,Golf Cart,1561.834212957391628,6.477250927023718,-112.056715121569184,33.483754110718394,0.000000000000000,3/20/2026 8:45:43,3,2335
12,,2,18.000000000000000,5.000000000000000,GOLF_4,Golf Cart,853.644585098075140,48.729726940122191,-112.062817176969915,33.482323433371022,0.000000000000000,3/20/2026 8:45:43,3,3896
13,,2,18.000000000000000,5.000000000000000,MAINT_1,Maintenance Cart,331.821889795812581,340.627416650909709,-112.059943264255068,33.482493637012958,0.000000000000000,3/20/2026 8:45:43,3,4749
14,,2,18.000000000000000,5.000000000000000,MAINT_3,Beverage Cart,431.306944922104151,34.248609688539361,-112.062950813046513,33.481552128344667,0.000000000000000,3/20/2026 8:45:43,3,5080
15,,2,18.000000000000000,5.000000000000000,MAINT_4,Beverage Cart,466.725552020159284,88.657787749887575,-112.063608788567933,33.482120627413387,0.000000000000000,3/20/2026 8:45:43,3,5511
16,,2,18.000000000000000,5.000000000000000,MAINT_5,Maintenance Cart,529.788930054992306,170.135940066611738,-112.061378609484009,33.486252215842626,0.000000000000000,3/20/2026 8:45:43,3,5977
17,,2,18.000000000000000,5.000000000000000,GOLF_1,Golf Cart,840.083215782839602,101.803460144392261,-112.062356622401850,33.481678931657044,0.000000000000000,3/20/2026 8:45:44,4,3
18,,2,18.000000000000000,5.000000000000000,GOLF_2,Golf Cart,1493.561445671860156,22.207655015754199,-112.059285748671059,33.482189529644401,0.000000000000000,3/20/2026 8:45:44,4,843
19,,2,18.000000000000000,5.000000000000000,GOLF_3,Golf Cart,1561.834212957391628,356.523382596293914,-112.056713859436215,33.483791554375394,0.000000000000000,3/20/2026 8:45:44,4,2336
20,,2,18.000000000000000,5.000000000000000,GOLF_4,Golf Cart,853.644585098075140,16.685109772403280,-112.062804760456032,33.482357986310049,0.000000000000000,3/20/2026 8:45:44,4,3897
21,,2,18.000000000000000,5.000000000000000,MAINT_1,Maintenance Cart,331.821889795812581,343.338843572712221,-112.059954046733424,33.482530000056428,0.000000000000000,3/20/2026 8:45:44,4,4750
22,,2,18.000000000000000,5.000000000000000,MAINT_3,Beverage Cart,431.306944922104151,248.353327438251597,-112.062931583709556,33.481585972799259,0.000000000000000,3/20/2026 8:45:44,4,5081
23,,2,18.000000000000000,5.000000000000000,MAINT_4,Beverage Cart,466.725552020159284,77.841510022948199,-112.063567123806749,33.482134325896354,0.000000000000000,3/20/2026 8:45:44,4,5512
24,,2,18.000000000000000,5.000000000000000,MAINT_5,Maintenance Cart,529.788930054992306,159.760389238727271,-112.061356934034535,33.486219500774716,0.000000000000000,3/20/2026 8:45:44,4,5978
25,,2,18.000000000000000,5.000000000000000,GOLF_1,Golf Cart,840.083215782839602,89.791281454685333,-112.062319001856039,33.481658782050680,0.000000000000000,3/20/2026 8:45:45,5,4
26,,2,18.000000000000000,5.000000000000000,GOLF_2,Golf Cart,1493.561445671860156,22.207655015754199,-112.059242363636088,33.482195255385676,0.000000000000000,3/20/2026 8:45:45,5,844
27,,2,18.000000000000000,5.000000000000000,GOLF_3,Golf Cart,1561.834212957391628,352.769630063326076,-112.056714573596864,33.483829008505523,0.000000000000000,3/20/2026 8:45:45,5,2337
